Jan	1950	102526.4709																					
	60	102219	102299	102413	102545	102682	102809	102924	103024	103120	103213	103308	103399	103480	103541	103582	103601	103603	103589	103565	103528	103480	103457.8095
	Jan	1964																					
	70	72.5	75	77.5	80	82.5	85	87.5	90	92.5	95	97.5	100	102.5	105	107.5	110	112.5	115	117.5	120		
	40	102807	102911	102946	102894	102788	102691	102657	102702	102809	102942	103068	103166	103221	103235	103224	103205	103188	103164	103112	103021	102899	
	42.5	102776	102931	103022	103043	103020	103001	103018	103068	103131	103189	103241	103298	103363	103429	103475	103490	103466	103409	103318	103210	103096	
	45	102595	102767	102910	103024	103127	103240	103368	103490	103576	103617	103626	103631	103650	103681	103705	103699	103653	103568	103457	103335	103216	
	47.5	102347	102506	102665	102827	103005	103213	103445	103664	103834	103929	103953	103927	103888	103851	103821	103789	103742	103669	103565	103437	103292	
	50	102060	102200	102343	102498	102682	102907	103173	103446	103683	103842	103909	103897	103845	103791	103762	103765	103780	103775	103721	103603	103430	
	52.5	101717	101846	101974	102106	102259	102451	102684	102938	103178	103360	103465	103499	103496	103500	103545	103637	103749	103832	103842	103754	103580	
	55	101339	101460	101580	101699	101828	101979	102160	102360	102561	102731	102856	102942	103011	103097	103221	103382	103547	103670	103709	103648	103502	
	57.5	101004	101113	101228	101343	101461	101589	101735	101892	102053	102207	102342	102465	102583	102711	102856	103007	103141	103228	103245	103194	103096	
	60	100797	100891	100995	101105	101220	101340	101469	101606	101751	101895	102036	102170	102300	102421	102530	102620	102676	102695	102675	102634	102594	102918.873
Jan	1965																						
	70	72.5	75	77.5	80	82.5	85	87.5	90	92.5	95	97.5	100	102.5	105	107.5	110	112.5	115	117.5	120		
	40	102330	102456	102607	102705	102708	102637	102563	102552	102634	102773	102910	102996	103034	103069	103134	103213	103248	103198	103070	102913	102772	
	42.5	102532	102640	102774	102882	102931	102932	102919	102926	102967	103038	103123	103213	103306	103400	103479	103511	103469	103356	103208	103065	102944	
	45	102774	102868	102983	103096	103190	103267	103335	103401	103467	103530	103592	103651	103701	103732	103724	103668	103567	103439	103309	103192	103080	
	47.5	102990	103057	103131	103208	103288	103379	103485	103603	103721	103821	103890	103920	103906	103855	103774	103676	103578	103484	103389	103276	103132	
	50	103062	103099	103130	103159	103195	103256	103353	103482	103626	103754	103836	103859	103823	103750	103672	103613	103578	103548	103488	103365	103175	
	52.5	102926	102947	102965	102981	102999	103040	103113	103221	103349	103465	103542	103567	103549	103514	103496	103515	103559	103595	103574	103467	103280	
	55	102654	102671	102699	102729	102761	102801	102860	102938	103026	103109	103168	103197	103208	103221	103261	103334	103426	103501	103523	103469	103350	
	57.5	102405	102410	102433	102467	102504	102546	102594	102651	102713	102773	102822	102861	102894	102934	102991	103066	103148	103219	103258	103258	103225	
	60	102260	102242	102242	102256	102282	102316	102359	102411	102472	102535	102594	102649	102696	102738	102776	102811	102846	102873	102895	102912	102930	103116.0106
	Jan	1966																					
	70	72.5	75	77.5	80	82.5	85	87.5	90	92.5	95	97.5	100	102.5	105	107.5	110	112.5	115	117.5	120		
	40	102268	102562	102847	103031	103067	102989	102879	102827	102866	102968	103059	103094	103079	103059	103070	103104	103118	103080	102987	102865	102738	
	42.5	102352	102591	102853	103065	103178	103191	103143	103090	103066	103078	103116	103163	103215	103276	103337	103377	103368	103298	103172	103018	102861	
	45	102543	102712	102919	103121	103285	103396	103458	103485	103499	103508	103525	103548	103573	103598	103608	103592	103537	103435	103288	103106	102910	
	47.5	102828	102918	103026	103145	103266	103384	103500	103608	103701	103773	103816	103825	103802	103756	103700	103639	103568	103466	103312	103099	102848	
	50	103086	103115	103131	103144	103168	103220	103309	103429	103561	103674	103745	103758	103721	103659	103603	103567	103541	103484	103354	103131	102838	
	52.5	103177	103177	103153	103117	103082	103075	103111	103190	103292	103390	103454	103474	103460	103441	103451	103494	103549	103566	103488	103298	103018	
	55	103035	103031	103016	102991	102961	102943	102950	102985	103041	103098	103141	103167	103190	103230	103306	103415	103524	103590	103569	103441	103232	
	57.5	102752	102737	102729	102722	102715	102714	102723	102747	102785	102828	102871	102917	102970	103040	103130	103232	103324	103378	103371	103298	103178	
	60	102477	102437	102413	102402	102403	102419	102449	102495	102555	102624	102697	102769	102837	102898	102947	102980	102993	102978	102939	102885	102831	103143.5503
Jan	1967																						
	70	72.5	75	77.5	80	82.5	85	87.5	90	92.5	95	97.5	100	102.5	105	107.5	110	112.5	115	117.5	120		
	40	102603	102834	103029	103112	103067	102967	102909	102950	103063	103168	103194	103153	103110	103119	103172	103213	103192	103120	103032	102953	102874	
	42.5	102664	102861	103037	103136	103156	103153	103193	103299	103433	103521	103517	103441	103353	103307	103303	103304	103268	103189	103084	102973	102863	
	45	102818	102955	103084	103182	103259	103344	103460	103599	103710	103742	103682	103565	103452	103388	103370	103361	103322	103233	103103	102952	102805	
	47.5	103023	103116	103196	103272	103363	103484	103634	103779	103868	103867	103779	103646	103524	103447	103412	103385	103326	103209	103040	102846	102655	
	50	103102	103181	103242	103302	103385	103508	103659	103803	103896	103907	103840	103727	103611	103522	103460	103397	103299	103147	102944	102715	102494	
	52.5	102940	103028	103098	103165	103250	103362	103500	103636	103738	103780	103761	103697	103617	103541	103473	103391	103273	103107	102894	102661	102438	
	55	102593	102685	102772	102856	102945	103046	103158	103268	103362	103420	103443	103437	103414	103386	103348	103289	103189	103042	102851	102642	102443	
	57.5	102205	102288	102377	102468	102553	102639	102722	102798	102864	102917	102955	102985	103007	103021	103021	102991	102919	102803	102651	102486	102336	
	60	101864	101925	102000	102081	102162	102237	102304	102362	102410	102451	102486	102517	102541	102555	102552	102518	102450	102352	102236	102128	102048	103076.2487
Jan	1968																						
	70	72.5	75	77.5	80	82.5	85	87.5	90	92.5	95	97.5	100	102.5	105	107.5	110	112.5	115	117.5	120		
	40	102031	102193	102288	102279	102197	102121	102110	102175	102266	102322	102321	102295	102308	102396	102536	102663	102721	102697	102621	102529	102431	
	42.5	102058	102213	102332	102383	102381	102377	102405	102456	102495	102492	102458	102440	102484	102603	102754	102869	102900	102842	102723	102580	102439	
	45	102156	102285	102403	102493	102559	102620	102677	102715	102709	102658	102595	102572	102622	102738	102872	102968	102981	102911	102778	102618	102455	
	47.5	102303	102404	102496	102583	102673	102771	102867	102933	102949	102918	102867	102835	102849	102901	102958	102986	102961	102877	102746	102582	102406	
	50	102404	102490	102560	102628	102714	102828	102956	103076	103160	103197	103196	103172	103143	103111	103072	103015	102934	102823	102681	102511	102322	
	52.5	102383	102471	102539	102603	102682	102790	102923	103064	103192	103285	103337	103346	103318	103264	103186	103091	102979	102851	102702	102530	102348	
	55	102278	102373	102454	102526	102602	102690	102794	102909	103023	103125	103207	103260	103285	103276	103238	103172	103080	102965	102831	102687	102546	
	57.5	102219	102314	102404	102489	102565	102637	102707	102779	102854	102934	103017	103096	103163	103208	103220	103197	103138	103049	102947	102849	102769	
	60	102265	102355	102450	102545	102631	102704	102765	102820	102871	102926	102988	103054	103114	103155	103167	103142	103085	103005	102925	102864	102837	102729.3915
Jan	1969																						
	70	72.5	75	77.5	80	82.5	85	87.5	90	92.5	95	97.5	100	102.5	105	107.5	110	112.5	115	117.5	120		
	40	102397	102311	102263	102224	102182	102158	102183	102243	102289	102267	102182	102100	102097	102193	102336	102457	102522	102551	102576	102593	102570	
	42.5	102735	102670	102622	102589	102583	102621	102706	102795	102829	102770	102650	102546	102527	102597	102701	102771	102783	102757	102725	102696	102652	
	45	103135	103125	103107	103089	103091	103128	103192	103240	103224	103129	102995	102893	102873	102930	103011	103058	103046	102989	102913	102834	102750	
	47.5	103478	103496	103489	103465	103445	103448	103472	103487	103463	103389	103290	103212	103183	103205	103240	103250	103212	103127	103010	102875	102730	
	50	103636	103632	103611	103578	103552	103551	103581	103622	103652	103647	103609	103554	103503	103464	103426	103374	103293	103172	103013	102822	102617	
	52.5	103592	103555	103521	103496	103491	103518	103580	103666	103747	103799	103808	103775	103714	103641	103564	103479	103375	103236	103057	102842	102618	
	55	103441	103384	103347	103332	103343	103380	103445	103525	103605	103664	103692	103687	103660	103622	103579	103527	103451	103342	103191	103013	102831	
	57.5	103286	103220	103179	103158	103156	103170	103196	103232	103272	103310	103343	103373	103400	103429	103448	103453	103426	103363	103267	103155	103051	
	60	103170	103105	103056	103024	103006	102997	102996	103003	103021	103049	103087	103136	103188	103239	103275	103284	103261	103207	103138	103073	103029	103116.4656
	Jan	1970																					
	70	72.5	75	77.5	80	82.5	85	87.5	90	92.5	95	97.5	100	102.5	105	107.5	110	112.5	115	117.5	120		
	40	102296	102414	102541	102601	102576	102513	102495	102560	102675	102766	102779	102725	102664	102652	102696	102765	102824	102863	102883	102880	102843	
